campaign_id,click_rate
1889,0.04751293392606557
1890,0.20714187131059053
1891,0.19842328077972016
1892,0.1890406827466978
1893,0.12239556683279215
1894,0.02897545951081106
1895,0.014066626450475682
1896,0.023088172010680887
1897,0.014539822826671314
1898,0.024887168498874675
1899,0.021010242278489785
1900,0.028763395323686623
1901,0.015650468461025503
1902,0.014715033054464697
1903,0.009388742002194517
1904,0.008244400774803862
1905,0.007476982182032747
1906,0.015681878735505864
1907,0.02154446717582408
1908,0.04559776014653358
1909,0.01456341923365319
1910,0.015618498033247497
1911,0.01464777938792992
1912,0.006308685689565119
1913,0.02981435845308151
1914,0.023858294477911424
1915,0.05785555167914329
1916,0.009908658640435851
1917,0.09255275222255017
1918,0.009196800017098015
1919,0.010261993698990397
1920,0.03415909532438418
1921,0.014310768972895968
1922,0.1796533893645924
1923,0.029912935569683358
1924,0.05074268746948668
1925,0.008468988690029287
1926,0.005263809058847491
1927,0.007529609778211191
1928,0.028418786617818638
1929,0.010578072889351163
1930,0.024578305380625977
1931,0.008282069715106003
1932,0.0596033291851204
1933,0.06281015993836297
1934,0.005185207387502181
1935,0.043586922692368246
1936,0.0198147706098564
1937,0.029111327872758243
1938,0.009324594883308597
1939,0.037323318970083535
1940,0.016871467217434582
1941,0.008510591013467935
1942,0.017018356885395956
1943,0.007333559866439794
1944,0.013160005448241441
1945,0.0395338877529047
1946,0.013287775813289951
1947,0.006828187817969839
1948,0.0039975178717901304
1949,0.08065092429078302
1950,0.005891886705008355
1951,0.009861136656525549
1952,0.0053194453454218004
1953,0.024946019021866
1954,0.012037302870342284
1955,0.00689913605197184
1956,0.06408675190500793
1957,0.011959241432876723
1958,0.08451578787463117
1959,0.010609100351897898
1960,0.17100526736203217
1961,0.012050501955924015
1962,0.013482650087506343
1963,0.09815037728915482
1964,0.11731215725410776
1965,0.00582680772435393
1966,0.05010832573113235
1967,0.006194955596774219
1968,0.10421131412167826
1969,0.020242629052574693
1970,0.014886441217628362
1971,0.16462568649434264
1972,0.01315028871680135
1973,0.024160027363402056
1974,0.13139631565608317
1975,0.006004565162990607
1976,0.022882328920195524
1977,0.04815781724320025
1978,0.010621066425477029
